6633.25,6636.0,6631.25,6634.0,BUY
6633.75,6634.75,6633.0,6633.25,SELL
6633.25,6635.0,6633.25,6634.25,BUY
6634.5,6635.5,6633.5,6635.25,BUY
6635.25,6637.0,6635.25,6635.75,BUY
6635.75,6636.0,6633.5,6634.5,SELL
6634.75,6635.75,6633.5,6635.25,BUY
6635.25,6635.75,6634.75,6635.25,HOLD
6635.25,6635.25,6634.5,6634.75,SELL
6634.75,6636.25,6634.5,6635.75,BUY
6636.0,6636.25,6635.25,6635.75,SELL
6635.75,6635.75,6634.25,6634.5,SELL
6634.5,6635.75,6634.5,6635.5,BUY
6635.5,6638.25,6634.75,6637.25,BUY
6637.25,6637.75,6636.5,6637.25,HOLD
6637.0,6638.75,6636.25,6638.0,BUY
6637.75,6638.25,6637.5,6637.5,SELL
6637.5,6638.75,6637.5,6638.5,BUY
6638.5,6639.0,6636.25,6637.0,SELL
6637.0,6638.75,6637.0,6638.5,BUY
6638.25,6638.5,6637.0,6637.25,SELL
6637.5,6637.75,6636.5,6636.5,SELL
6636.5,6637.0,6635.0,6635.25,SELL
6635.0,6636.0,6634.5,6635.25,BUY
6635.25,6637.25,6635.25,6637.0,BUY
6637.0,6638.75,6636.5,6638.5,BUY
6638.25,6641.25,6638.0,6638.5,BUY
6638.5,6640.5,6638.5,6640.25,BUY
6640.0,6640.75,6639.25,6640.0,HOLD
6640.0,6640.0,6638.5,6638.75,SELL
6638.75,6640.25,6638.5,6639.25,BUY
6639.25,6639.5,6638.0,6638.75,SELL
6638.75,6639.25,6638.25,6638.75,HOLD
6638.75,6640.0,6638.75,6640.0,BUY
6639.75,6640.25,6639.5,6640.25,BUY
6640.25,6641.5,6640.0,6641.0,BUY
6640.75,6641.25,6640.0,6640.75,HOLD
6640.5,6642.5,6640.0,6642.25,BUY
6642.5,6643.5,6641.75,6643.0,BUY
6643.0,6644.0,6642.25,6642.5,SELL
6642.75,6643.5,6642.5,6643.5,BUY
6643.25,6645.25,6643.25,6645.25,BUY
6645.25,6647.5,6645.25,6646.25,BUY
6646.5,6648.75,6645.75,6648.5,BUY
6648.25,6650.5,6648.25,6649.75,BUY
6650.0,6652.0,6649.75,6650.25,BUY
6650.25,6650.75,6649.25,6650.0,SELL
6650.25,6651.75,6649.5,6651.25,BUY
6651.25,6652.5,6650.5,6652.25,BUY
6652.0,6652.0,6649.75,6650.75,SELL
6650.75,6651.0,6647.5,6647.75,SELL
6647.75,6650.0,6647.75,6649.25,BUY
6649.25,6649.5,6648.5,6649.25,HOLD
6649.0,6650.25,6648.75,6649.25,BUY
6649.0,6649.0,6647.0,6648.0,SELL
6647.75,6648.75,6647.0,6647.0,SELL
6647.0,6647.25,6646.0,6646.5,SELL
6646.5,6647.25,6646.0,6646.75,BUY
6646.75,6647.25,6646.5,6646.5,SELL
6646.5,6647.25,6646.5,6647.0,BUY
6646.75,6648.75,6646.25,6648.0,BUY
6647.75,6648.0,6645.25,6645.75,SELL
